Rnd.,Pick No.,NFL team,Player,Pos.,College,Conf.,Notes
1,1,Carolina Panthers,Bryce Young ,QB,Alabama,SEC,from Chicago[R1 - 1]
1,2,Houston Texans,C. J. Stroud †,QB,Ohio State,Big Ten,
1,3,Houston Texans,Will Anderson Jr. †,LB,Alabama,SEC,from Arizona[R1 - 2]
1,4,Indianapolis Colts,Anthony Richardson ,QB,Florida,SEC,
1,5,Seattle Seahawks,Devon Witherspoon †,CB,Illinois,Big Ten,from Denver[R1 - 3]
1,6,Arizona Cardinals,Paris Johnson Jr. ,OT,Ohio State,Big Ten,from LA Rams via Detroit[R1 - 4]
1,7,Las Vegas Raiders,Tyree Wilson ,DE,Texas Tech,Big 12,
1,8,Atlanta Falcons,Bijan Robinson ,RB,Texas,Big 12,
1,9,Philadelphia Eagles,Jalen Carter ,DT,Georgia,SEC,from Carolina via Chicago[R1 - 5]
1,10,Chicago Bears,Darnell Wright ,OT,Tennessee,SEC,from New Orleans via Philadelphia[R1 - 6]
1,11,Tennessee Titans,Peter Skoronski ,OT,Northwestern,Big Ten,
1,12,Detroit Lions,Jahmyr Gibbs †,RB,Alabama,SEC,from Cleveland via Houston and Arizona[R1 - 7]
1,13,Green Bay Packers,Lukas Van Ness ,DE,Iowa,Big Ten,from NY Jets[R1 - 8]
1,14,Pittsburgh Steelers,Broderick Jones ,OT,Georgia,SEC,from New England[R1 - 9]
1,15,New York Jets,Will McDonald IV ,DE,Iowa State,Big 12,from Green Bay[R1 - 10]
1,16,Washington Commanders,Emmanuel Forbes ,CB,Mississippi State,SEC,
1,17,New England Patriots,Christian Gonzalez ,CB,Oregon,Pac-12,from Pittsburgh[R1 - 11]
1,18,Detroit Lions,Jack Campbell ,LB,Iowa,Big Ten,
1,19,Tampa Bay Buccaneers,Calijah Kancey ,DT,Pittsburgh,ACC,
1,20,Seattle Seahawks,Jaxon Smith-Njigba ,WR,Ohio State,Big Ten,
1,21,Los Angeles Chargers,Quentin Johnston ,WR,TCU,Big 12,
1,22,Baltimore Ravens,Zay Flowers ,WR,Boston College,ACC,
1,23,Minnesota Vikings,Jordan Addison ,WR,USC,Pac-12,
1,24,New York Giants,Deonte Banks ,CB,Maryland,Big Ten,from Jacksonville[R1 - 12]
1,25,Buffalo Bills,Dalton Kincaid ,TE,Utah,Pac-12,from NY Giants via Jacksonville[R1 - 13]
1,26,Dallas Cowboys,Mazi Smith ,DT,Michigan,Big Ten,
1,27,Jacksonville Jaguars,Anton Harrison ,OT,Oklahoma,Big 12,from Buffalo[R1 - 14]
1,28,Cincinnati Bengals,Myles Murphy ,DE,Clemson,ACC,
1,29,New Orleans Saints,Bryan Bresee ,DT,Clemson,ACC,from San Francisco via Miami and Denver[R1 - 15]
1,30,Philadelphia Eagles,Nolan Smith ,LB,Georgia,SEC,
1,31,Kansas City Chiefs,Felix Anudike-Uzomah ,DE,Kansas State,Big 12,
2,32,Pittsburgh Steelers,Joey Porter Jr. ,CB,Penn State,Big Ten,from Chicago[R2 - 1]
2,33,Tennessee Titans,Will Levis ,QB,Kentucky,SEC,from Houston via Arizona[R2 - 2]
2,34,Detroit Lions,Sam LaPorta †,TE,Iowa,Big Ten,from Arizona[R2 - 3]
2,35,Las Vegas Raiders,Michael Mayer ,TE,Notre Dame,Ind. (FBS),from Indianapolis[R2 - 4]
2,36,Los Angeles Rams,Steve Avila ,OG,TCU,Big 12,
2,37,Seattle Seahawks,Derick Hall ,OLB,Auburn,SEC,from Denver[R2 - 5]
2,38,Atlanta Falcons,Matthew Bergeron ,OG,Syracuse,ACC,from Las Vegas via Indianapolis[R2 - 6]
2,39,Carolina Panthers,Jonathan Mingo ,WR,Ole Miss,SEC,
2,40,New Orleans Saints,Isaiah Foskey ,DE,Notre Dame,Ind. (FBS),
2,41,Arizona Cardinals,BJ Ojulari ,LB,LSU,SEC,from Tennessee[R2 - 7]
2,42,Green Bay Packers,Luke Musgrave ,TE,Oregon State,Pac-12,from Cleveland via NY Jets[R2 - 8]
2,43,New York Jets,Joe Tippmann ,C,Wisconsin,Big Ten,
2,44,Indianapolis Colts,JuJu Brents ,CB,Kansas State,Big 12,from Atlanta[R2 - 9]
2,45,Detroit Lions,Brian Branch ,S,Alabama,SEC,from Green Bay[R2 - 10]
2,46,New England Patriots,Keion White ,DE,Georgia Tech,ACC,
2,47,Washington Commanders,Jartavius Martin ,S,Illinois,Big Ten,
2,48,Tampa Bay Buccaneers,Cody Mauch ,OG,North Dakota State,MVFC,from Detroit via Green Bay[R2 - 11]
